STATE,LGC,allocation
ZAMFARA,MARADUN,"356,798,134.70"
ZAMFARA,MARU,"436,772,446.41"
ZAMFARA,SHINKAFI,"300,726,086.25"
ZAMFARA,TALATA MAFARA,"351,294,528.45"
ZAMFARA,TSAFE,"379,860,224.60"
ZAMFARA,ZURMI,"406,637,730.20"
FCT-ABUJA,ABAJI,"758,353,353.89"
FCT-ABUJA,ABUJA MUNICIPAL,"1,214,088,422.34"
FCT-ABUJA,BWARI,"873,321,852.32"
FCT-ABUJA,GWAGWALADA,"823,211,987.50"
FCT-ABUJA,KUJE,"792,577,521.38"
FCT-ABUJA,KWALI,"791,720,764.42"
 ,,
